Title,Nazwa,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
Rozszerzenie i dywersyfikacja oferty firmy event-expert Jakub Wolański poprzez wprowadzenie nowej usługi – mobilnego kina w woj. mazowieckim,event-expert Jakub Wolański,MAZOWIECKIE,Książenice,al. Jarzębinowa,25,05-825,521280.0
„Wsparcie przedsięwzięcia MŚP poprzez rozszerzenie profilu dotychczasowej działalności firmy ZAJAZD U LESZKA CECYLIA PANASIEWICZ w regionie województwa warmińsko-mazurskiego”,ZAJAZD U LESZKA CECYLIA PANASIEWICZ,WARMIŃSKO-MAZURSKIE,Bartąg,Nad Łyną,10,10-687,377192.68
Innowacyjne Technologie VR/AR/MR dla Turystyki i Kultury - Wsparcie Rozwoju Naukożercy Lena Kaźmierczak w Epoce Post-COVID,NAUKOŻERCY LENA KAŹMIERCZAK,WARMIŃSKO-MAZURSKIE,Bartąg,Nagietkowa,5,10-687,539333.44
Dywersyfikacja działalności przedsiębiorstwa INWERO ROBERT SKULIMOWSKI szansą na rozwój i odbudowę branży w regionie 2.,INWERO ROBERT SKULIMOWSKI,WARMIŃSKO-MAZURSKIE,Morąg,,46,14-300,410879.68
Dywersyfikacja działalności przedsiębiorstwa Pawie Oczko Marcin Oczkowski w województwie warmińsko-mazurskim.,"""SALA WESELNA PAWIE OCZKO"" MARCIN OCZKOWSKI",WARMIŃSKO-MAZURSKIE,Tylice,,62,13-300,533174.52
Dywersyfikacja działalności PRO COMPLEX GRUPA DOMINIK SKIBA w województwie mazowieckim celem zwiększenia konkurencyjności i odporności w branży HoReCa,PRO COMPLEX GRUPA DOMINIK SKIBA,MAZOWIECKIE,Warszawa,Tadeusza Krępowieckiego,10,01-456,492447.48
Dywersyfikacja prowadzonych dotychczasowych usług dotyczących produkcji żywności oraz rozwinięcie nowych usług związanych z prowadzeniem Stacjonarnej Stacji (Catering Trailer) oraz Mobilnej Stacji (Food Trailer) - ruchomych i stacjonarnych Placówek Gastronomicznych pod logo MaPassion w woj. mazowieckim.,Paweł Kalbarczyk,MAZOWIECKIE,Ząbki,Józefa Wybickiego,26,05-091,431039.0
"Dywersyfikacja działalności przedsiębiorstwa ,,Gastronomista"" poprzez rozszerzenie świadczonych usług o catering w województwie mazowieckim.",GASTRONOMISTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Franciszka Klimczaka,1,02-797,209222.1
"Dywersyfikacja działalności firmy Dobry Event Kacper Szmurło poprzez wprowadzenie nowej usługi opierającej jest na kompleksowej organizacji targów, wystaw, kongresów, konferencji oraz spotkań mające na celu poprawienie odporności firmy poprzez zakup odpowiedniego sprzętu na terenie województwa mazowieckiego.",DOBRY EVENT KACPER SZMURŁO,MAZOWIECKIE,Wołomin,1 Maja,11,05-200,350563.19
"Rozszerzenie działalności Aparthostel Warszawa i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty cateringu - Region 2 obejmujący województwa mazowieckie, podlaskie i warmińsko-mazurskie",PIU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Ząbkowska,23-25,03-736,122842.8
Przeprowadzenie dywersyfikacji przedsiębiorstwa poprzez wprowadzenie całkowicie nowych trzech usług w celu uodpornienia sektora HoReCa na terenie województwa mazowieckiego,VINSSEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Franciszka Łukaszczyka,10,02-781,531873.9
Przeprowadzenie dywersyfikacji przedsiębiorstwa poprzez wdrożenie całkowicie nowych dwóch usług w celu uodpornienia sektora HoReCa na terenie województwa mazowieckiego,Piotr Szczepanik,MAZOWIECKIE,Warszawa,Tyniecka,38,02-621,538016.4
"Nowa, komplementarna usługa czarteru jachtu żaglowego z pomocniczym napędem elektrycznym sposobem dywersyfikacji działalności Tur Info Maciej Gładysz i drogą do budowy własnych aktywów i usług celem ograniczenia podatności na kryzysy oraz szansą na rozwój mikroregionu Jeziora Włocławskiego w województwie mazowieckim",TUR INFO MACIEJ GŁADYSZ,MAZOWIECKIE,Piaseczno,Kusocińskiego,14a,05-500,539940.5
"Rozszerzenie i Dywersyfikacja Działalności Restauracji ""Pełną Parą"" z Warszawy poprzez Uruchomienie Nowej Usługi Kateringu Przemysłowego dla Sektora B2B",OLTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Nowowiejska,10,00-653,539697.08
Rozszerzenie i dywersyfikacja działalności NIEPUBLICZNEJ PLACÓWKI OŚWIATOWO-WYCHOWAWCZEJ ROCKSTEP Monika Giermuda zlokalizowanej w Regionie 2 w województwie mazowieckim,Niepubliczna Placówka Oświatowo-Wychowawcza ROCKSTEP Monika Giermuda,MAZOWIECKIE,Radom,Wierzbicka,26,26-600,450035.33
Rozszerzenie działalności firmy WYTWÓRNIA CIAST I LODÓW Wasilewski Piotr zlokalizowanej w województwie mazowieckim,WYTWÓRNIA CIAST I LODÓW Wasilewski Piotr,MAZOWIECKIE,Radom,Bolesława Chrobrego,30A,26-600,174468.0
Dywersyfikacja oferty przedsiębiorstwa Lech 93 poprzez wprowadzenie usług opartych o wynajem łodzi żaglowych.,MACIEJ PUTAJ LECH93 FHU,WARMIŃSKO-MAZURSKIE,Kraków,Fabryczna,6,31-553,536760.0
"Inwestycja polega na wprowadzeniu usługi najmu krótkoterminowego w Regionie 2 obejmującym województwa: mazowieckie, podlaskie, warmińsko-mazurskie",BRETANIA MAZURY JOANNA PIÓRKOWSKA-CHESNAIS DOMINIQUE CHESNAIS,WARMIŃSKO-MAZURSKIE,Gdańsk,Spichrzowa,24,80-750,409227.51
"Inwestycja na terenie województwa warmińsko - mazurskiego w zwiększenie odporności przedsiębiorstwa Alles sp. z o.o. poprzez rozszerzenie działalności gospodarczej w obiekcie - uruchomienie nowej usługi wynajmu domków letniskowych rodzinom z dziećmi specjalnej troski; stworzenie placu rekreacyjnego dla rodzin z dziećmi oraz uruchomienie strzelnicy łuczniczej dla dzieci, młodzieży i dorosłych - w celu przyciągnięcia nowych klientów.","""ALLES"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",WARMIŃSKO-MAZURSKIE,Mozgowo,,8,14-230,487986.23
"Dywersyfikacja działalności poprzez utworzenie nowej usługi w zakresie poprawy kondycji fizycznej, poprawy samopoczucia i relaksu.",CENTRUM KULTURALNO ROZRYWKOWE ZAWADZKI ŁUKASZ,MAZOWIECKIE,Chustki,,64B,26-500,539239.37
"Wprowadzenie nowych usług dotyczących mobilnej gastronomii, wypożyczalni gokartów oraz organizacji eventów dla rodzin z dziećmi w celu dywersyfikacji przychodów w firmie i przeciwdziałania ewentualnym kryzysom.",""" JAGODA "" Janusz Koc",PODLASKIE,Ciechanowiec,Wojska Polskiego,23,18-230,507034.37
Rozszerzenie i dywersyfikacja oferty firmy PROEXPOL-TRADE FAIRS & EVENTS HUBERT PARCHOMIUK z Mazowsza dzięki wprowadzeniu nowej usługi,PROEXPOL-TRADE FAIRS & EVENTS HUBERT PARCHOMIUK,MAZOWIECKIE,Warszawa,Pory,60,02-757,504720.0
"Rozszerzenie i Dywersyfikacja Działalności Kawiarni i Cukierni ""Lukrecja"" z Sochaczewa o Usługi ""Lukrecja na Kołach"", ""Lukrecjowe Przyjęcia"" oraz ""Katering Lukrecji""",1. KAWIARNIA LUKRECJA Dariusz Makowski 2. Nova Marina wspólnik spółki cywilnej Makowski Dariusz 3. Cukiernia Lukrecja wspólnik spółki cywilnej Makowski Dariusz,MAZOWIECKIE,Sochaczew,pl. Plac Tadeusza Kościuszki,4,96-500,392477.74
Rozszerzenie działalności prowadzonej przez firmę Warmia Aktywnie Izabela Podpirko w regionie województwa warmińsko-mazurskiego,Warmia Aktywnie Izabela Podpirko,WARMIŃSKO-MAZURSKIE,Mątki,,57a,11-042,428503.5
"Rozszerzenie działalności firmy Masarnia Edward Balcerczyk w obiekcie ""Dworek Marysieńka"" i zwiększenie jej odporności za sprawą wprowadzenia nowej usługi strefy wellnes i modernizacji pokoi - region 2 - województwa mazowieckie, podlaskie, warmińsko-mazurskie",MASARNIA-EDWARD BALCERCZYK,MAZOWIECKIE,Drężek,,2A,07-430,536105.0
Dywersyfikacja działalności dzięki inwestycjom mającym na celu wdrożenie nowej usługi: Strefa Zdrowia i Relaksu w Pałacu w Rusinowie na Mazowszu,WARSKA BEATA AGNIESZKA Beata Agnieszka Warska,MAZOWIECKIE,Milanówek,Staszica,18,05-822,387672.18
"Dywersyfikacja działalności oraz wzmocnienie odporności firmy JEMY Sp. z o.o. zlokalizowanej w Warszawie w województwie mazowieckim, poprzez wprowadzenie do oferty usługi całorocznego cateringu zewnętrznego z wykorzystaniem foodtrucków umieszczonych w estetycznych, mobilnych halach namiotowych rozkładanych w miejscu wskazanym przez klienta.",JEMY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Michała Oczapowskiego,17,01-843,528217.38
"Rozszerzenie działalności przedsiębiorstwa Biura Turystycznego ""Guliwer"" w zakresie wdrożenia biura informacji turystycznej, kompleksowej organizacji wycieczek dla nowych grup odbiorców oraz wypożyczania sprzętu wodnego na terenie województwa mazowieckiego poprzez zakup wyspecjalizowanego wyposażenia, a także realizację usługi szkoleniowej.","Magdalena Zawadzka-Nowakowska BIURO TURYSTYCZNE ""GULIWER""",MAZOWIECKIE,Legionowo,Sielankowa,1,05-120,315166.27
"Przedsięwzięcie MŚP związane z poszerzeniem usług świadczonych przez CKS Spółka Akcyjna mieszczący się przy ulicy Trakt Lubelski 40A w Warszawie. Projekt związany jest z włączeniem do działalności nowych usług, produktów w zakresie kateringu dla Klientów zewnętrznych. Przedsięwzięcie dotyczy zakupu niezbędnych maszyn i urządzeń, licencji systemu CRM, do prowadzenia wyżej wymienionej działalności, oraz wprowadzenie elementu energii zielonej, poprzez zakup instalacji fotowoltaicznej o mocy 20KWpPrzedsięwzięcie MŚP związane z poszerzeniem usług świadczonych przez CKS Spółka Akcyjna mieszczący się przy ulicy Trakt Lubelski 40A w Warszawie. Projekt związany jest z włączeniem do działalności nowych usług, produktów w zakresie kateringu dla Klientów zewnętrznych. Przedsięwzięcie dotyczy zakupu niezbędnych maszyn i urządzeń, licencji systemu CRM, do prowadzenia wyżej wymienionej działalności, oraz wprowadzenie elementu energii zielonej, poprzez zakup instalacji fotowoltaicznej o mocy 20KWp",CKS SPÓŁKA AKCYJNA,MAZOWIECKIE,Warszawa,inne Trakt Lubelski,40 A,04-870,524690.6
Wdrożenie nowej usługi w firmie 3 TRIO Sp. z o.o. działającej w regionie województwa podlaskiego poprzez inwestycje oraz podnoszenie kompetencji pracowników.,3 TRIO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PODLASKIE,Białystok,Hurtowa,3,15-399,531998.1
Wzrost konkurencyjności przedsiębiorstwa na rynku usług hotelarskich poprzez wdrożenie kompleksowych rozwiązań organizacyjno-biznesowych,"""CARINA"" Konrad Kaliszczak",MAZOWIECKIE,Radom,Juliusza Słowackiego,11,26-100,457491.45
"Dywersyfikacja działalności Centrum Edukacji i Rozwoju MAGNA Sp. z o. o. poprzez realizacje inwestycji w województwie mazowieckim,",CENTRUM EDUKACJI I ROZWOJU MAGNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Adama Mickiewicza,37,01-625,525144.6
"Inwestycja w dywersyfikację/rozszerzenie działalności firmy ECC & DM Zbigniew Bieńkowski poprzez rozwój nowej usługi wraz z inwestycją w zieloną transformację, działania związane z wykorzystaniem technologii cyfrowych i szkolenie pracownika oraz usługi doradcze z uwzględnieniem potrzeb osób z niepełnosprawnościami: region 2 - województwo warmińsko - mazurskie",ECC & DM ZBIGNIEW BIEŃKOWSKI,WARMIŃSKO-MAZURSKIE,Małkinie,,1b,19-300,474046.7
"Dywersyfikacja prowadzonej działalności gastronomicznej oraz jej wzmocnienie przez dobudowę sali eventowej - przestrzeni do organizacji zamkniętych eventów, imprez, spotkań, degustacji, pokazów, itp. mającą ne celu zwiększenie konkurencyjności oraz gotowości na wypadek sytuacji kryzysowych w branży, w regionie mazowieckim.",BAZOOKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Ludwika Rydygiera,9,01-793,362001.5
"Oaza Rekreacji: Plac campingowy - wraz z towarzyszącą infrastrukturą i ładowarkami dla pojazdów elektrycznych, Boisko Wielofunkcyjne do Padla, Siatkówki, Koszykówki, Domki Turystyczne, Energetyczna Samowystarczalność dzięki magazynowi energii. Dodatkowo Profesjonalna Gastronomia",TRADYCJA Agnieszka Wtulich,MAZOWIECKIE,Mława,Henryka Sienkiewicza,21,06-500,539621.0
Utworzenie salonu WARSAW CONCEPT WELLNESS i świadczenie usług z zakresu masażu sposobem na budowanie odporności firmy Warsaw Concept Anna Grabowska,WARSAW CONCEPT ANNA GRABOWSKA,MAZOWIECKIE,Warszawa,Hoża,50,00-682,466793.69
"Dywersyfikacja działalności i unowocześnienie bazy usługowej przedsiębiorstwa ""EUGENIUSZ KIELAK PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE"" w Regionie 2 (mazowieckie).",EUGENIUSZ KIELAK PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE,MAZOWIECKIE,Szewnica,Leśna,5,05-280,456623.3
"Dywersyfikacja działalności w celu uruchomienia nowej usługi wynajmu sprzętu kitesurfingowego, zwiększająca odporność na kryzysy, produktywność oraz konkurencyjność firmy w regionie 2 mazowieckim.",Way Out MARTA REINHERCS,MAZOWIECKIE,Warszawa,Prymasa Augusta Hlonda,10,02-956,453433.14
"Wprowadzenie do oferty Klubu Sandow zlokalizowanego w Legionowie w województwie mazowieckim, nowych usług z zakresu zabiegów odchudzających oraz relaksacyjnych","Bogusław Borkowski Firma Handlowo-Usługowa ""SANDOW""",MAZOWIECKIE,Legionowo,Warszawska,60a,05-120,481975.94
"Dywersyfikacja działalności usługowej poprzez instalację placu zabaw i wynajem rowerów elektrycznych w Region 2 - województwa mazowieckie, podlaskie, warmińsko-mazurskie,",P.H.U. AGA AGNIESZKA SOBANIA,MAZOWIECKIE,Pieńki,,40,27-100,473556.6
Dywersyfikacja firmy poprzez stworzenie - wypożyczalni sprzętu sportowego.,ZEPPELIN KLUB LOTNIKA Wojciech Lejwoda,MAZOWIECKIE,Warszawa,Jerzego Waldorffa,41,01-494,506743.2
"Rozszerzenie działalności o organizację targów, wystaw i kongresów online oraz hybrydowych.",KRZYSZTOF HOŁUBOWICZ,MAZOWIECKIE,Warszawa,Międzynarodowa,58/60A,03-922,469803.38
"Dywersyfikacja przedsiębiorstwa NEW AGE FITNESS Sp. z o.o. poprzez dodanie nowych usług tj. strefy wellness, wypożyczalni rowerów i hulajnóg elektrycznych oraz działalności eventowej (Region 2)",NEW AGE FITNESS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Modlińska,115,03-186,539744.81
Zwiększenie odporności przedsiębiorstwa LAROS CATERING ŁUKASZ ROŚ na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 2: województwo mazowieckie).,LAROS CATERING ŁUKASZ ROŚ,MAZOWIECKIE,Katowice,,8a,40-208,399566.13
Dywersyfikacja usług - otwarcie salonu SPA w Dworku Czersk - region II województwo mazowieckie,DWOREK CZERSK Katarzyna Łuczak-Jasińska,MAZOWIECKIE,Czersk,Ogrodowa,17,05-530,378173.7
Dywersyfikacja działalności firmy OBP INCENTIVE & SPORT TRAVEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowej usługi - REGION MAZOWIECKI,OBP INCENTIVE & SPORT TRAVEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Kraski,53A,02-804,485754.64
Dywersyfikacja działalności firmy SUNMOON INVEST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowej usługi - REGION MAZOWIECKI,SUNMOON INVEST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Zamiany,8,02-786,539916.6
"W ramach przedsięwzięcia MŚP wprowadzenie nowego rodzaju usług w postaci zakupu i wypożyczaniu i dzierżawieniu dwóch żaglówek "" Maxus 26"". Przedsięwzięcie oparte jest również o element zielonej energii w postaci zakupu dwóch instalacji fotowoltaicznych o mocy 35 Wp zamontowanych na kupowanych żaglówkach.",ANDRZEJ KUCZWALSKI,WARMIŃSKO-MAZURSKIE,Warszawa,Jana Karola Chodkiewicza,8,02-593,509258.0
"Wdrożenie nowych usług w firmie P.P.H.U. ""TINEX-NK"" KRZYSZTOF NOWAK w celu rozszerzenia profilu obecnej działalności w województwie mazowieckim","P.P.H.U. ""TINEX-NK"" KRZYSZTOF NOWAK",MAZOWIECKIE,Żakowice,Piotrkowska,16,95-040,415531.86
Dywersyfikacja produktów i usług w przedsiębiorstwie Poland is Tasty Tomasz Łagowski w województwie Mazowieckim,Poland is tasty Tomasz Łagowski,MAZOWIECKIE,Warszawa,Gromowładna,5,02-852,539813.46
Dywersyfikacja działalności przedsiębiorstwa RESTAURACJA STARY DOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA w województwie mazowieckim (region 2) poprzez dodanie do oferty nowej usługi : Starodomski Catering- usługa cateringowa.,RESTAURACJA STARY DOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,MAZOWIECKIE,Warszawa,Puławska,104/106,02-620,410934.33
Dywersyfikacja oferty firmy Austeria Stępień Sp.j. poprzez utworzenie nowej bazy noclegowej w miejscowości Makowiec pod Radomiem,AUSTERIA STĘPIEŃ SPÓŁKA JAWNA,MAZOWIECKIE,Makowiec,Radomska,113A,26-640,539508.04
"Rozszerzenie oferty usługowej firmy ""PONIATOWSKI event "" Ireneusz Poniatowski o dania na wynos z możliwością dostawy oraz przygotowywanie posiłków przez kucharza w pergoli – przy gościach - z możliwością streamingu, w celu zwiększenia odporności firmy na potencjalne przyszłe kryzysy oraz zwiększenia konkurencyjności podmiotu – region 2: woj. MAZOWIECKIE","1.""PONIATOWSKI event "" Ireneusz Poniatowski",MAZOWIECKIE,Płock,Medyczna,19,09-400,115913.83
"Budowanie odporności Actifun Sp. z o.o. poprzez dywersyfikację działaności związanej z organizacją targów, wystaw i kongresów (region 2).",ACTIFUN.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Jana III Sobieskiego,66,02-930,512127.56
Dywersyfikacja firmy Forstaff Sp. z o. o.,FORSTAFF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Wilcza,35,00-678,432143.51
Wzrost konkurencyjności przedsiębiorstwa na rynku usług gastronomicznych i hotelarskich w HOTEL - GOSPODA U CZWARNÓW poprzez wdrożenie kompleksowych rozwiązań organizacyjno-biznesowych,"""HOTEL - GOSPODA U CZWARNÓW"" S.C. P. M. J. M. CZWARNO",MAZOWIECKIE,Grodzisk Mazowiecki,Owocowa,2 B,05-827,471291.9
"Wprowadzenie do oferty nowego produktu w postaci ABONAMENTÓW DLA KAMPERÓW w ośrodku “Pod Sosną” w woj. podlaskim, w celu poprawy konkurencyjności, dywersyfikacji działalności i uodpornienia na zjawiska kryzysowe przedsiębiorstwa ""HAL‐GEN"" E. I E. PACEWICZ H. P. I P. ZEMBROWSCY SPÓŁKA JAWNA, działającego na terenie województwa podlaskiego","""HAL-GEN"" E. I E. PACEWICZ H. P. I P. ZEMBROWSCY SPÓŁKA JAWNA",PODLASKIE,Supraśl,Aleja Niepodległości,6,16-030,524337.19
Rozszerzenie działalności gospodarczej Anna Lorenz-Tylicka Lets Go poprzez otwarcie w Warszawie (woj. mazowieckie) wypożyczalni sprzętu sportowo-rekreacyjnego do uprawiania kitesurfingu i wingfoil oraz rowerów elektrycznych.,LETS GO ANNA LORENZ-TYLICKA,MAZOWIECKIE,Warszawa,Wielicka,36,02-657,488309.59
"Rozwój firmy EMIDA poprzez wprowadzenie nowej usługi w branży HORECA tj. sala bankietowa i organizacja wesel do 180 osób, region mazowiecki.",EMIDA SPÓŁKA JAWNA. REK-SZERSZENIEWSCY,MAZOWIECKIE,Sinołęka,,46,05-310,207978.3
Dywersyfikacja działalności Spółdzielni Socjalnej 4Smart,SPÓŁDZIELNIA SOCJALNA 4SMART,MAZOWIECKIE,Warszawa,Grochowska,178/184,04-357,256534.28
Zwiększenie odporności firmy Polaris Hospitality Enterprises Sp. z o.o. poprzez dywersyfikację działalności o nową usługę - CATERING w województwie mazowieckim,POLARIS HOSPITALITY ENTERPRISES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Skalnicowa,21,04-797,503681.71
"Dywersyfikacja, zwiększenie odporności na sytuacje kryzysowe i wprowadzenie nowej usługi w firmie Przedsiębiorstwo Handlowo Usługowe ""BEA"" - Beata Kowalska, Mazowieckie, Region 2",PRZEDSIĘBIORSTWO HANDLOWO- USŁUGOWE BEA- BEATA KOWALSKA,MAZOWIECKIE,Stasi Las,Słoneczna,11,05-140,429813.9
"Poszerzenie zakresu działalności firmy Zajazd Bąk s.c. o usługi cateringowe odpowiedzią na sytuacje kryzysowe w branży HoReCa - projekt realizowany w Regionie nr 2 dla województw: mazowieckiego, podlaskiego, warmińsko-mazurskiego.","Zajazd ""Bąk"" S.C. Janina Bąkowicz, Anna Chmielewska",MAZOWIECKIE,Sękocin-Las,Al. Krakowska,135,05-090,101320.39
"Dywersyfikacja działalności Fundacji Student Na Swoim w kierunku działalności związanej z organizacją targów, wystaw i kongresów. Przedsięwzięcie zlokalizowane w regionie 2, województwo podlaskie.","FUNDACJA ""STUDENT NA SWOIM""",PODLASKIE,Łomża,gen. Władysława Sikorskiego,166,18-400,405000.0
"Rozszerzenie działalności poprzez adaptację pomieszczeń cukierni i magazynu na bistro z kuchnią otwartą w celu poszerzenia oferty śniadaniowej, lunchowej i kolacyjnej w Warszawie - region 2",MUFFIA BAKERY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Burakowska,11,01-066,540000.0
Zwiększenie odporności i konkurencyjności gospodarki poprzez inwestycje w nowe produkty i usługi Hoteliku Likusy w Olsztynie w województwie warmińsko-mazurskim,"""INVEST PROJECT-CONSULTING"" RADOSŁAW NOWOSIELSKI",WARMIŃSKO-MAZURSKIE,Olsztyn,Edwarda Martuszewskiego,18,10-090,539710.83
"Rozwój firmy Patryk Ploska WYNAJEM LOKALI poprzez wprowadzenie nowych usług: glampingu z WIOSKĄ SPA PTASIETRELE oraz Mobilnej Restauracji, region mazowiecki",Patryk Ploska WYNAJEM LOKALI,MAZOWIECKIE,Białobrzegi,Łąkowa,4,26-800,539559.96
WZMOCNIENIE POZYCJI KONKURENCYJNEJ PRZEDSIĘBIORSTWA BATIDA POPRZEZ DYWERSYFIKACJĘ PROFILU DZIAŁALNOŚCI,"""BATIDA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",MAZOWIECKIE,Warszawa,Królewska,2,00-065,484011.87
"Zwiększenie konkurencyjności i odporności na sytuacje kryzysowe firmy EVENT MAKERS Dariusz Perzanowski poprzez dywersyfikację prowadzonej działalności, Mazowieckie, Region 2",EVENT MAKERS Dariusz Perzanowski,MAZOWIECKIE,Marki,Duża,1,05-260,538651.5
"Rozszerzenie działalności firmy o nowe usługi: wypożyczania i dzierżawy sprzętu rekreacyjnego (rowery elektryczne), poprawy samopoczucia (balia do schładzania dla rowerzystów), wynajmu i dzierżawy środków transportu wodnego (supy rzeczne i łódź wędkarska) w celu zwiększenia odporności na sytuacje kryzysowe firmy ""KOALA"" ""NA CISOWYM WZGÓRZU"" ""OBERŻA POD ZŁOTYM PROSIAKIEM"" Anna Rogiecka-Szwedzińska w województwie podlaskim, powiat sejneński, gmina Giby, Region 2.","""KOALA"" ""NA CISOWYM WZGÓRZU"" ""OBERŻA POD ZŁOTYM PROSIAKIEM"" ANNA ROGIECKA-SZWEDZIŃSKA",PODLASKIE,Nieborów,Zachodnia,5,99-416,417504.11
Dywersyfikacja dotychczasowej działalności spółki poprzez stworzenie „Salonu odchudzania” w wydzielonym do tego celu gabinecie z niezależnym wejściem dostosowanym dla osób niepełnosprawnych.,LAFIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Piękna,15,00-549,436000.0
"Dywersyfikacja działalności firmy Lider Jakub Kędzierski poprzez wprowadzenie nowej usługi wynajmu zeroemisyjnych, ekologicznych, z dostępem dla każdego łodzi typu „houseboat” w województwie mazowieckim.",LIDER JAKUB KĘDZIERSKI,MAZOWIECKIE,Warszawa,Ludwika Kondratowicza,59,03-285,538545.95
Zwiększenie odporności firmy Hotele Korona Sp. z o.o. w regionie mazowieckim poprzez wsparcie rozszerzenia działalności w branży kateringowej,HOTELE KORONA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Majdańska,1,04-088,531942.09
Rozszerzenie działalności firmy Paviatorp Sp. z o.o poprzez utworzenie wypożyczalni rowerów elektrycznych oraz udoskonalenie usług hotelowych wraz z ogródkiem gastronomicznym w Hotelu Aviator w Radomiu - jako element zwiększenia jej odporności na sytuacje kryzysowe (Region 2 – województwo mazowieckie),PAVIATORP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Radom,Jacka Malczewskiego,18,26-660,539989.2
Dywersyfikacja działalności poprzez wprowadzenie nowych usług catering oraz wynajem sprzętu sportowo-rekreacyjnego w woj. mazowieckim - Region 2,Ka Jak Marcin Kozerewicz,MAZOWIECKIE,Nowy Dwór Mazowiecki,Tadeusza Kościuszki,13,05-100,427452.78
Wprowadzenie nowej usługi i wzmocnienie na sytuacje kryzysowe firmy OUTDOOR CINEMA ENT. dzięki zakupowi łodzi rekreacyjnej typu HouseBoat - Region 2,OUTDOOR CINEMA ENT. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MAZOWIECKIE,Warszawa,Stanisława Noakowskiego,16,00-666,529382.79
Dywersyfikacja działalności firmy ASPRE dzięki zakupowi łodzi żaglowych na wynajem - Region 2,ASPRE Jarosław Gania,WARMIŃSKO-MAZURSKIE,Piekary Śląskie,Bytomska,61,41-940,540000.0
"Dywersyfikacja działalności STAN Małgorzata Budziszewska, prowadzonej w Regionie 2 woj. mazowieckie.",STAN Małgorzata Budziszewska,MAZOWIECKIE,Warszawa,Zabawna,8,04-908,221199.4
Dywersyfikacja działalności Kornelia Karwacka i uodpornienie na przyszłe kryzysy poprzez wprowadzenie usługi wynajmu rowerów elektrycznych,Kornelia Karwacka,WARMIŃSKO-MAZURSKIE,Warszawa,Bertolta Brechta,17,03-473,276748.06
